ph,ec,oc,n,p,k,s,z,b,fe,mn,cu,name
4.55,0.13,3.14,10,93,14,13.6,0.62,0.69,2.22,1.43,0.11,Tea
4.98,0.15,2.28,9,85,15,14.7,0.7,0.52,2.96,1.55,0.18,Tea
5.0,0.15,3.81,8,94,15,12.64,0.65,0.55,3.24,1.05,0.17,Tea
5.31,0.13,2.79,11,89,13,12.8,0.7,0.62,3.2,1.2,0.17,Tea
5.18,0.18,3.02,10,102,15,10.77,0.72,0.7,2.67,1.35,0.18,Tea
5.22,0.16,2.98,9,86,15,11.94,0.77,0.7,3.06,1.54,0.14,Tea
5.09,0.14,2.8,11,86,16,12.4,0.76,0.7,2.42,1.01,0.13,Tea
4.73,0.17,3.86,13,101,13,11.11,0.76,0.64,2.64,1.26,0.16,Tea
4.77,0.15,3.57,9,94,13,13.91,0.65,0.63,2.14,1.45,0.2,Tea
5.04,0.1,3.61,8,100,15,10.17,0.68,0.68,2.24,1.65,0.18,Tea
5.24,0.11,3.17,8,86,14,12.75,0.68,0.55,2.5,1.78,0.19,Tea
4.79,0.19,2.15,12,95,14,13.18,0.63,0.62,2.39,1.72,0.14,Tea
5.2,0.12,2.78,10,92,17,14.3,0.68,0.62,2.45,1.43,0.12,Tea
5.48,0.17,3.95,10,95,15,10.4,0.61,0.63,2.05,1.45,0.18,Tea
4.59,0.18,2.74,9,94,16,14.68,0.72,0.51,2.75,1.53,0.15,Tea
4.64,0.15,2.85,8,102,17,14.88,0.64,0.5,2.5,1.49,0.1,Tea
5.05,0.2,3.84,11,85,15,12.28,0.62,0.68,3.18,1.09,0.19,Tea
5.5,0.16,2.25,10,99,15,12.45,0.68,0.7,2.33,1.59,0.1,Tea
4.9,0.12,2.48,10,88,13,10.62,0.69,0.61,2.33,1.48,0.11,Tea
4.86,0.15,3.11,13,90,13,10.19,0.7,0.59,2.16,1.54,0.14,Tea
4.84,0.19,3.92,13,85,14,14.14,0.68,0.64,3.46,1.41,0.18,Tea
4.76,0.15,2.31,8,87,14,14.46,0.71,0.55,2.13,1.54,0.12,Tea
4.83,0.13,2.2,9,98,16,13.32,0.65,0.53,2.22,1.12,0.19,Tea
5.05,0.13,2.2,12,95,13,14.51,0.76,0.65,3.03,1.19,0.1,Tea
4.92,0.18,2.7,11,85,13,12.98,0.76,0.51,3.44,1.03,0.14,Tea
5.14,0.17,2.68,11,86,15,10.41,0.6,0.52,2.16,1.16,0.19,Tea
5.0,0.15,3.63,8,94,16,11.68,0.66,0.63,2.99,1.64,0.16,Tea
5.2,0.17,3.83,10,93,17,12.01,0.67,0.52,2.47,1.42,0.14,Tea
4.62,0.19,3.02,10,94,16,11.59,0.73,0.67,2.83,1.09,0.12,Tea
4.84,0.17,3.57,11,99,16,10.63,0.67,0.62,3.44,1.18,0.11,Tea
5.07,0.19,3.0,8,101,13,14.19,0.75,0.63,2.57,1.75,0.11,Tea
5.1,0.14,2.24,10,100,14,12.32,0.6,0.5,2.28,1.77,0.1,Tea
4.8,0.17,2.25,10,92,14,10.39,0.71,0.57,2.77,1.77,0.12,Tea
5.13,0.15,2.67,13,103,17,11.7,0.61,0.58,3.32,1.35,0.19,Tea
4.64,0.14,3.43,11,91,13,12.62,0.65,0.51,2.39,1.76,0.11,Tea
4.74,0.12,3.75,8,104,16,13.65,0.72,0.66,2.69,1.67,0.18,Tea
4.82,0.16,3.9,13,85,13,14.54,0.67,0.58,3.34,1.59,0.11,Tea
5.48,0.19,3.57,12,104,17,12.27,0.8,0.56,3.04,1.47,0.12,Tea
5.45,0.11,3.45,12,90,17,14.39,0.75,0.61,2.54,1.44,0.18,Tea
5.41,0.19,3.88,11,98,17,10.46,0.65,0.67,2.32,1.68,0.14,Tea
4.64,0.14,3.54,11,85,16,13.18,0.8,0.51,3.34,1.55,0.11,Tea
4.66,0.17,2.5,8,94,17,11.15,0.74,0.59,3.27,1.18,0.15,Tea
5.37,0.16,2.48,11,85,16,13.05,0.66,0.68,2.89,1.76,0.19,Tea
5.09,0.11,3.93,8,104,14,10.93,0.7,0.53,3.39,1.12,0.16,Tea
5.15,0.15,2.86,8,98,17,13.68,0.61,0.6,2.05,1.6,0.13,Tea
4.78,0.11,3.71,10,91,14,10.67,0.72,0.68,2.06,1.42,0.12,Tea
5.27,0.14,3.1,13,103,17,12.31,0.73,0.67,2.24,1.73,0.12,Tea
5.01,0.17,3.69,11,95,17,11.52,0.62,0.56,3.03,1.57,0.1,Tea
5.11,0.19,3.5,8,86,13,10.94,0.67,0.53,2.34,1.1,0.18,Tea
4.53,0.14,3.6,9,98,17,14.31,0.69,0.5,2.34,1.43,0.18,Tea
5.03,0.15,2.55,9,102,15,14.3,0.76,0.58,2.35,1.06,0.16,Tea
4.84,0.17,3.31,9,97,13,13.62,0.8,0.61,2.67,1.17,0.18,Tea
5.47,0.17,2.46,9,92,15,13.64,0.62,0.54,3.04,1.66,0.18,Tea
5.3,0.12,2.4,9,85,13,13.84,0.8,0.66,3.08,1.03,0.17,Tea
5.39,0.19,2.75,8,87,13,14.93,0.77,0.66,3.22,1.6,0.16,Tea
4.93,0.13,3.51,12,95,17,14.71,0.69,0.6,2.23,1.14,0.17,Tea
5.47,0.11,3.77,13,99,17,13.56,0.69,0.58,2.55,1.51,0.17,Tea
5.17,0.19,2.12,12,97,13,12.88,0.76,0.6,2.1,1.11,0.16,Tea
4.88,0.16,2.83,12,88,13,10.27,0.71,0.61,3.41,1.3,0.14,Tea
4.95,0.17,3.27,9,96,13,10.4,0.77,0.52,2.58,1.7,0.16,Tea
4.59,0.12,2.01,12,89,15,10.3,0.79,0.51,2.57,1.78,0.18,Tea
4.95,0.18,3.87,9,91,16,14.49,0.78,0.61,3.34,1.45,0.1,Tea
4.9,0.17,2.66,13,94,13,10.76,0.68,0.54,3.25,1.64,0.13,Tea
4.86,0.12,3.07,8,93,16,14.38,0.75,0.67,3.28,1.26,0.13,Tea
5.23,0.16,3.11,8,93,14,14.61,0.66,0.58,2.68,1.63,0.12,Tea
5.39,0.18,3.43,9,96,16,14.66,0.71,0.67,2.14,1.65,0.2,Tea
5.07,0.11,2.47,13,103,17,10.95,0.79,0.68,2.09,1.58,0.19,Tea
5.24,0.13,3.82,12,92,15,10.3,0.67,0.62,2.84,1.26,0.2,Tea
5.31,0.15,2.75,12,97,17,11.29,0.68,0.54,3.48,1.51,0.11,Tea
5.4,0.19,2.06,13,91,14,11.71,0.79,0.6,3.5,1.68,0.18,Tea
4.79,0.16,3.81,8,96,13,14.54,0.8,0.51,3.08,1.23,0.11,Tea
4.94,0.13,3.35,9,92,16,14.27,0.63,0.63,2.32,1.13,0.12,Tea
4.75,0.14,2.86,12,100,14,13.62,0.75,0.54,2.76,1.45,0.13,Tea
5.14,0.12,3.52,9,88,17,10.75,0.69,0.51,2.53,1.11,0.18,Tea
4.96,0.15,2.68,9,87,17,11.72,0.72,0.64,2.53,1.01,0.16,Tea
5.4,0.13,2.13,12,86,13,13.25,0.65,0.63,2.52,1.45,0.17,Tea
4.52,0.11,2.93,9,93,16,13.8,0.78,0.51,2.04,1.52,0.19,Tea
4.57,0.13,2.31,8,98,15,14.79,0.62,0.62,3.29,1.02,0.11,Tea
5.3,0.14,2.13,9,97,17,12.12,0.61,0.5,2.58,1.46,0.12,Tea
5.22,0.19,3.71,9,97,14,10.55,0.61,0.61,2.72,1.27,0.17,Tea
4.98,0.15,2.03,9,85,17,14.97,0.63,0.63,2.14,1.22,0.15,Tea
5.04,0.13,2.6,13,100,14,14.0,0.73,0.5,3.45,1.27,0.16,Tea
4.9,0.13,2.97,8,101,14,11.51,0.73,0.68,2.8,1.13,0.19,Tea
4.54,0.14,2.62,11,86,14,13.07,0.75,0.51,3.39,1.33,0.18,Tea
4.91,0.13,3.02,9,87,15,13.48,0.73,0.57,3.2,1.45,0.16,Tea
5.0,0.17,2.45,13,86,15,14.97,0.75,0.54,3.39,1.08,0.11,Tea
4.99,0.16,3.55,13,87,16,12.71,0.67,0.67,3.05,1.6,0.16,Tea
4.99,0.13,2.87,11,98,13,12.58,0.79,0.53,2.68,1.24,0.2,Tea
4.87,0.19,2.53,10,93,13,11.13,0.79,0.67,2.53,1.14,0.11,Tea
4.76,0.16,2.34,12,104,13,13.17,0.65,0.54,3.11,1.37,0.13,Tea
4.62,0.16,2.05,11,97,14,11.99,0.67,0.64,2.71,1.06,0.13,Tea
4.78,0.2,3.53,12,94,15,12.2,0.65,0.61,2.24,1.48,0.12,Tea
4.91,0.12,2.72,10,101,17,13.64,0.75,0.61,2.39,1.2,0.11,Tea
4.89,0.14,2.88,8,99,16,13.86,0.79,0.59,2.98,1.5,0.17,Tea
4.56,0.12,2.56,11,102,14,14.28,0.79,0.6,2.04,1.11,0.12,Tea
5.35,0.11,2.08,8,91,16,13.04,0.79,0.55,3.1,1.4,0.11,Tea
5.25,0.19,2.06,10,88,14,10.34,0.67,0.53,2.01,1.22,0.17,Tea
4.76,0.15,2.35,10,104,14,12.33,0.71,0.5,2.21,1.15,0.18,Tea
4.78,0.18,2.87,13,88,15,13.75,0.71,0.54,2.12,1.51,0.13,Tea
4.87,0.19,3.96,13,95,16,14.81,0.64,0.69,2.24,1.33,0.19,Tea
5.25,0.11,2.49,10,101,15,11.08,0.63,0.57,2.97,1.39,0.11,Tea
4.73,0.19,2.37,9,97,14,14.17,0.78,0.61,3.36,1.36,0.16,Tea
4.6,0.15,3.45,11,94,13,14.17,0.61,0.64,2.39,1.64,0.19,Tea
4.58,0.18,3.47,10,95,14,10.79,0.76,0.55,2.69,1.39,0.12,Tea
4.91,0.18,3.24,8,87,14,12.39,0.68,0.69,3.36,1.45,0.13,Tea
5.16,0.17,3.1,12,87,15,14.58,0.65,0.52,3.02,1.18,0.13,Tea
4.66,0.19,2.92,9,101,15,13.44,0.6,0.61,3.17,1.54,0.16,Tea
5.36,0.14,2.09,8,99,17,11.65,0.62,0.64,3.49,1.69,0.17,Tea
4.82,0.18,2.44,11,103,14,13.9,0.6,0.68,2.67,1.19,0.14,Tea
4.94,0.12,2.21,8,95,15,14.65,0.77,0.56,2.63,1.11,0.15,Tea
5.12,0.13,3.31,13,96,13,10.33,0.69,0.5,3.1,1.16,0.13,Tea
4.7,0.17,3.41,8,97,16,13.8,0.78,0.57,3.19,1.71,0.15,Tea
5.03,0.11,2.48,12,99,13,13.56,0.68,0.64,2.05,1.68,0.16,Tea
4.66,0.12,2.85,12,91,13,14.84,0.77,0.66,3.16,1.06,0.12,Tea
5.33,0.14,3.49,10,85,16,12.11,0.79,0.69,3.32,1.6,0.11,Tea
5.46,0.15,3.06,11,98,17,13.11,0.61,0.64,2.07,1.78,0.11,Tea
4.88,0.14,3.52,11,102,15,12.51,0.69,0.6,3.15,1.68,0.19,Tea
4.88,0.18,2.86,10,92,15,12.82,0.7,0.55,3.28,1.03,0.17,Tea
4.66,0.16,3.07,9,101,14,14.53,0.71,0.52,3.37,1.49,0.14,Tea
4.68,0.16,3.83,10,89,16,11.15,0.63,0.55,2.13,1.4,0.15,Tea
4.51,0.18,3.12,11,91,14,11.17,0.61,0.64,3.12,1.01,0.18,Tea
4.65,0.13,2.19,13,101,17,10.01,0.68,0.6,2.82,1.32,0.12,Tea
5.0,0.17,2.87,8,97,15,12.43,0.73,0.51,2.97,1.8,0.11,Tea
5.03,0.14,2.25,10,85,13,13.43,0.66,0.68,3.48,1.59,0.12,Tea
4.8,0.14,2.76,13,94,13,13.29,0.8,0.59,3.08,1.3,0.13,Tea
4.99,0.2,2.95,12,104,13,12.47,0.69,0.63,2.53,1.0,0.14,Tea
5.17,0.15,3.23,12,90,16,12.44,0.73,0.65,2.93,1.16,0.2,Tea
4.58,0.14,2.65,10,91,15,13.33,0.64,0.57,2.68,1.71,0.14,Tea
4.87,0.13,3.47,8,89,15,12.42,0.71,0.57,3.14,1.07,0.13,Tea
4.92,0.19,2.05,12,96,16,12.56,0.77,0.57,3.01,1.71,0.14,Tea
4.74,0.17,2.13,12,100,13,12.71,0.73,0.68,3.24,1.45,0.19,Tea
4.56,0.11,3.16,10,85,17,13.83,0.74,0.53,2.39,1.78,0.13,Tea
5.08,0.16,3.89,12,90,17,13.81,0.64,0.57,2.51,1.33,0.16,Tea
4.63,0.13,3.78,8,88,14,10.6,0.8,0.7,3.21,1.41,0.19,Tea
5.18,0.14,2.46,11,92,13,14.62,0.62,0.53,2.36,1.64,0.19,Tea
5.47,0.15,3.47,11,102,14,14.77,0.73,0.65,2.54,1.18,0.13,Tea
4.96,0.16,3.45,12,91,15,10.75,0.73,0.54,3.18,1.65,0.11,Tea
5.0,0.12,3.99,13,95,17,11.88,0.63,0.52,3.12,1.71,0.17,Tea
5.15,0.17,3.17,11,97,15,11.33,0.64,0.59,2.15,1.24,0.13,Tea
5.09,0.15,2.99,9,104,14,10.88,0.66,0.52,2.03,1.23,0.2,Tea
5.49,0.15,3.91,8,103,14,13.58,0.64,0.63,3.24,1.64,0.17,Tea
5.22,0.19,3.71,11,87,17,13.94,0.64,0.55,2.09,1.78,0.16,Tea
4.72,0.15,3.62,12,89,13,13.34,0.63,0.5,2.31,1.63,0.18,Tea
5.08,0.19,2.72,8,88,13,14.78,0.68,0.53,2.95,1.7,0.11,Tea
5.27,0.18,3.58,11,99,17,13.98,0.67,0.53,2.73,1.5,0.16,Tea
5.23,0.16,3.74,9,98,17,11.21,0.68,0.58,3.03,1.26,0.1,Tea
5.03,0.18,3.19,9,93,13,11.07,0.78,0.56,3.24,1.71,0.13,Tea
5.2,0.15,2.33,9,91,14,11.28,0.79,0.53,2.54,1.3,0.16,Tea
5.21,0.19,3.28,9,89,13,14.08,0.63,0.65,3.34,1.05,0.18,Tea
4.61,0.13,3.16,9,94,15,14.59,0.69,0.68,3.31,1.26,0.1,Tea
5.01,0.13,3.31,12,85,14,12.88,0.78,0.57,2.93,1.72,0.14,Tea
4.79,0.17,3.46,9,99,17,14.96,0.63,0.54,2.51,1.69,0.18,Tea
5.33,0.15,2.04,10,104,13,11.42,0.77,0.61,2.66,1.5,0.18,Tea
4.85,0.13,4.0,10,88,16,13.36,0.62,0.58,2.74,1.56,0.2,Tea
4.88,0.18,3.16,9,95,16,11.37,0.72,0.64,2.93,1.13,0.15,Tea
4.53,0.1,2.34,10,97,13,13.8,0.67,0.52,2.15,1.38,0.19,Tea
5.1,0.15,3.62,13,92,15,13.28,0.7,0.61,3.25,1.76,0.11,Tea
5.11,0.12,3.6,9,103,17,10.86,0.77,0.58,3.25,1.32,0.12,Tea
4.99,0.14,3.69,9,91,14,12.34,0.74,0.7,2.78,1.12,0.12,Tea
5.26,0.12,2.84,13,89,16,12.09,0.67,0.67,2.6,1.63,0.12,Tea
5.06,0.13,3.64,9,103,15,10.29,0.73,0.64,3.31,1.36,0.16,Tea
4.69,0.1,3.37,8,92,13,11.58,0.73,0.63,2.59,1.79,0.18,Tea
5.05,0.19,2.46,11,98,13,12.06,0.7,0.62,2.23,1.71,0.11,Tea
5.36,0.14,2.51,9,101,14,10.49,0.66,0.56,2.36,1.21,0.19,Tea
4.96,0.14,3.4,12,95,16,11.39,0.65,0.64,3.08,1.71,0.16,Tea
5.33,0.19,2.91,13,101,13,13.52,0.78,0.65,2.64,1.04,0.18,Tea
4.95,0.17,3.05,8,102,14,11.89,0.77,0.64,3.24,1.31,0.15,Tea
5.0,0.14,2.54,12,92,13,14.01,0.76,0.59,2.37,1.32,0.16,Tea
4.53,0.19,3.03,8,93,17,12.95,0.79,0.55,2.48,1.72,0.11,Tea
4.95,0.12,3.15,8,102,16,14.1,0.71,0.61,3.08,1.22,0.17,Tea
4.55,0.18,2.01,13,98,13,10.01,0.62,0.51,2.68,1.78,0.13,Tea
4.82,0.17,3.78,13,87,17,12.04,0.64,0.67,3.24,1.63,0.13,Tea
5.03,0.11,3.29,9,88,15,10.93,0.62,0.63,2.29,1.67,0.15,Tea
4.73,0.13,2.28,13,101,14,11.36,0.63,0.63,2.62,1.78,0.19,Tea
4.59,0.11,2.26,12,104,16,14.92,0.68,0.56,2.37,1.12,0.12,Tea
4.63,0.14,3.39,11,103,14,10.81,0.78,0.61,3.07,1.38,0.17,Tea
